2019-02-22 10:18:30,548  INFO AWT-EventQueue-0:3466 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 7, 3
2019-02-22 10:18:30,549  INFO AWT-EventQueue-0:3467 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=7,y=3]
2019-02-22 10:18:30,551  INFO AWT-EventQueue-0:3469 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 327, 225
2019-02-22 10:18:30,551  INFO AWT-EventQueue-0:3469 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 7, 2
2019-02-22 10:18:30,552  INFO AWT-EventQueue-0:3470 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=7,y=2]
2019-02-22 10:18:30,557  INFO AWT-EventQueue-0:3475 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 316, 208
2019-02-22 10:18:30,558  INFO AWT-EventQueue-0:3476 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 7, 2
2019-02-22 10:18:30,559  INFO AWT-EventQueue-0:3477 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=7,y=2]
2019-02-22 10:18:30,567  INFO AWT-EventQueue-0:3485 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 311, 202
2019-02-22 10:18:30,568  INFO AWT-EventQueue-0:3486 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 7, 2
2019-02-22 10:18:30,568  INFO AWT-EventQueue-0:3486 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=7,y=2]
2019-02-22 10:18:30,573  INFO AWT-EventQueue-0:3491 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 303, 191
2019-02-22 10:18:30,574  INFO AWT-EventQueue-0:3492 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 2
2019-02-22 10:18:30,575  INFO AWT-EventQueue-0:3493 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=2]
2019-02-22 10:18:30,582  INFO AWT-EventQueue-0:3500 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 301, 188
2019-02-22 10:18:30,583  INFO AWT-EventQueue-0:3501 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 1
2019-02-22 10:18:30,585  INFO AWT-EventQueue-0:3503 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=1]
2019-02-22 10:18:30,589  INFO AWT-EventQueue-0:3507 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 292, 173
2019-02-22 10:18:30,590  INFO AWT-EventQueue-0:3508 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 1
2019-02-22 10:18:30,590  INFO AWT-EventQueue-0:3508 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=1]
2019-02-22 10:18:30,814  INFO AWT-EventQueue-0:3732 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 292, 171
2019-02-22 10:18:30,814  INFO AWT-EventQueue-0:3732 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 1
2019-02-22 10:18:30,815  INFO AWT-EventQueue-0:3733 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=1]
2019-02-22 10:18:30,822  INFO AWT-EventQueue-0:3740 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 285, 161
2019-02-22 10:18:30,822  INFO AWT-EventQueue-0:3740 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 1
2019-02-22 10:18:30,822  INFO AWT-EventQueue-0:3740 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=1]
2019-02-22 10:18:30,832  INFO AWT-EventQueue-0:3750 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 278, 152
2019-02-22 10:18:30,832  INFO AWT-EventQueue-0:3750 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 6, 1
2019-02-22 10:18:30,832  INFO AWT-EventQueue-0:3750 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=6,y=1]
2019-02-22 10:18:30,841  INFO AWT-EventQueue-0:3759 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 270, 144
